title,author,blurb,date
The Coffee Bean,Jon Gordon and Damon West,"I read this book this past Friday afternoon. It’s so good . Given that coffee is more important to me than oxygen 😂, I’m not sure how it took me this long to hear about it. It’s super short, so I won’t spoil it—just do yourself a favor and pick it up.",2025-08-11
Tiny Habits,"BJ Fogg, Ph.D","This is my favorite book on habits. It truly changed my life about 4 years ago. When it comes to breathing, meditation, or anything else that makes us better, the practices are usually straightforward. The hardest part is consistency. This book makes that part easy.",2025-08-04
Still the Mind: An Introduction to Meditation,Alan Watts,"This book offers a nice mix of philosophy and practical wisdom on meditation and breathing. I highly recommend the audio version, as it allows you to hear Watts speak, which brings life and humor to the words.",2025-07-28
Don’t Believe Everything You Think,Joseph Nguyen,"James Clear had this book on his list of three books he’d recommend to new graduates. And now I know why…it’s so good. It’s short, easy to read, and full of wisdom. It’s a perfect introduction to the world of contemplative practices.",2025-07-21
Hidden Potential,Adam Grant,"My good friend Mary Hunt recommended this one to me ( check out her coaching here ). I’ve taken a break from these types of books lately to mainly read about meditation and breathing, but this one was amazing. It’s a joy to read, full of studies, stories, and practical wisdom that you can immediately start applying.",2025-07-14
Instructions for Spiritual Living,Paul Brunton,"I was surprised how much I liked this book. Despite its rather terrible name, Brunton avoids cookie-cutter advice and instead offers genuine wisdom and practical advice on using contemplative practices to lead a better life.",2025-07-07
How Bad Do You Want It?,Matt Fitzgerald,"A detour from our usual breathing and meditation books, this was one of my all-time favorites on the mind, written through the lens of endurance sports. It’s filled with inspiring stories and fascinating science that’ll have you rethink what you’re capable of.",2025-06-30
Breath Taking,"Micheal J Stephen, MD","I loved this book because it’s not about “breathwork” but about “the breath.” I’ve joked that Dr. Stephen is the Feynman of the lungs, weaving poetic quotes into rigorous and fascinating scientific discussion. My favorite chapters were the Prologue, 1–4, and 12. It’s a great read for anyone interested in breathing.",2025-06-23
The Healing Power of the Breath,"Richard Brown, MD, and Patricia Gerbarg, MD","This is one of my all-time favorite books on breathing. It blends the essential science of breath with clear, practical instructions (and is just a joy to read). Brown and Gerbarg are truly a gift to the world of breathing and psychiatry.",2025-06-16
The Mind Illuminated,"John Yates, Ph.D., Matthew Immergut, Ph.D., and Jeremy Graves","This is an incredible book on the stages of meditation. I absolutely loved the first half or so…after that, a lot of it was beyond my understanding (simply because I haven’t progressed that far in my practice). However, I highly recommend it to anyone interested in the mind and its transformations through meditation.",2025-06-09
The Heroic Heart,Jetsunma Tenzin Palmo,"I got this book solely because it had the best title ever, lol, and I ended up absolutely loving it. This quote sums up its core message perfectly: “The important thing is not to worry about what is going to happen to us but to create inner strength to deal with whatever does happen.”",2025-06-02
Do Walk,Libby DeLana,"This one instantly became my favorite book on walking. It’s short, easy to read, and overflowing with wisdom on the power of walking. I can’t recommend it enough, and I hope it inspires you to walk more like it did me.",2025-05-26
Awareness,Anthony de Mello,"This is one of my favorites in the recent past. De Mello’s wisdom was genuinely life-changing for me. Also, I highly recommend the audiobook version— he’s hilarious , and reading the words doesn’t do it justice. (I often randomly put it on while walking because it’s so funny and full of wisdom that it never gets old.) I hope you’ll check it out!",2025-05-19
The Well-Lived Life,"Gladys McGarey, MD","I’ve been raving about this book for over a year now—it’s one of my all-time favorites. I’ve received more messages from readers that this book changed their life than any other I’ve shared. Dr. McGarey was 102 when she wrote it, and you can truly feel her wisdom in every sentence. (She has since passed away, back in September, at the age of 103.) I can’t recommend this one enough.",2025-05-12
Move,Caroline Williams,"Here’s another book I can’t recommend enough . If you’re curious about how movement affects your mind, it’s a must-read. Williams even has a whole chapter on breathing— the most fundamental movement —which is worth getting the book for by itself. Check it out if it sounds interesting!",2025-05-05
Meditations for Mortals,Oliver Burkeman,"I can’t recommend this one enough . Reading the introduction was my favorite part, as it felt like Burkeman was expressing thoughts I’ve had but never known how to articulate. I’ve never felt so much resonance with a book. Check it out if it sounds interesting to you!",2025-04-28
Healing Through Breathing,Eddie Stern,"This is a short, practical guide to the power of breathing for healing our bodies and minds. It blends science with ancient wisdom to offer plenty of simple yet powerful advice. It also includes guided breathing to get you started. Can’t recommend it enough. ( Note: It is only on Audible. )",2025-04-21
Passage Meditation,Eknath Easwaran,"If you’re tired of reading the same old things about meditation, here’s an approach I can almost promise you haven’t encountered. And even if you don’t adopt Easwaran’s 8-point program, his profound yet practical wisdom is sure to change how you think and live 🙏",2025-04-14
Peak Mind,"Amishi Jha, Ph.D",This is an incredible book on attention and mindfulness from one of the world’s leading researchers on the topics. If you want to learn how attention actually works—and how to train it—this is a must-read.,2025-04-07
Breath by Breath,Larry Rosenberg,"Even if you’re not into meditation, this book is worth the read for all the great quotes, stories, and analogies about the breath. It’s one of the first “non-breathwork” breathing books I read many years ago that opened my eyes to the power of the breath as an analogy for life.",2025-03-31
